id,first_name,second_name,team,position,now_cost,total_points,minutes,goals_scored,assists,clean_sheets,selected_by_percent
1,David,Raya Martín,1,Gardien,5.5,18,270,0,0,2,22.5
2,Kepa,Arrizabalaga Revuelta,1,Gardien,4.4,0,0,0,0,0,0.7
3,Karl,Hein,1,Gardien,4.0,0,0,0,0,0,0.5
4,Tommy,Setford,1,Gardien,4.0,0,0,0,0,0,0.2
5,Gabriel,dos Santos Magalhães,1,Défenseur,6.1,14,270,0,0,2,21.2
6,William,Saliba,1,Défenseur,6.1,16,184,0,0,2,15.9
7,Riccardo,Calafiori,1,Défenseur,5.7,28,224,1,2,2,11.4
8,Jurriën,Timber,1,Défenseur,5.6,26,172,2,1,1,9.1
9,Jakub,Kiwior,1,Défenseur,5.4,0,0,0,0,0,0.1
10,Myles,Lewis-Skelly,1,Défenseur,5.4,1,44,0,0,0,2.7
11,Benjamin,White,1,Défenseur,5.4,6,70,0,0,1,0.6
13,Brayden,Clarke,1,Défenseur,4.0,0,0,0,0,0,0.5
14,Maldini,Kacurri,1,Défenseur,4.0,0,0,0,0,0,0.2
15,Josh,Nichols,1,Défenseur,4.0,0,0,0,0,0,0.2
16,Bukayo,Saka,1,Milieu,9.9,9,142,1,0,1,5.8
17,Martin,Ødegaard,1,Milieu,7.9,7,147,0,0,1,2.5
18,Noni,Madueke,1,Milieu,7.0,6,181,0,0,1,1.1
19,Gabriel,Martinelli Silva,1,Milieu,6.9,4,128,0,0,1,1.1
20,Leandro,Trossard,1,Milieu,6.9,1,37,0,0,0,0.3
21,Declan,Rice,1,Milieu,6.5,16,262,0,2,2,8.9
22,Mikel,Merino Zazón,1,Milieu,5.9,4,76,0,0,1,0.4
23,Fábio,Ferreira Vieira,1,Milieu,5.4,0,0,0,0,0,0.0
24,Christian,Nørgaard,1,Milieu,5.4,0,0,0,0,0,0.2
25,Ethan,Nwaneri,1,Milieu,5.4,1,52,0,0,0,0.2
26,Martín,Zubimendi Ibáñez,1,Milieu,5.5,9,270,0,0,2,1.9
28,Ismeal,Kabia,1,Milieu,4.5,0,0,0,0,0,0.2
29,Albert,Sambi Lokonga,1,Milieu,4.5,0,0,0,0,0,0.1
30,Kai,Havertz,1,Attaquant,7.4,1,30,0,0,0,0.5
31,Gabriel,Fernando de Jesus,1,Attaquant,6.5,0,0,0,0,0,0.0
266,Eberechi,Eze,1,Milieu,7.5,4,103,0,0,1,11.1
662,Cristhian,Mosquera,1,Défenseur,5.4,3,111,0,0,0,0.1
666,Viktor,Gyökeres,1,Attaquant,9.0,14,239,2,0,1,24.7
700,Max,Dowman,1,Milieu,4.5,5,27,0,1,0,0.3
711,Andre,Harriman-Annous,1,Milieu,4.5,0,0,0,0,0,0.0
725,Piero,Hincapié,1,Défenseur,5.5,0,0,0,0,0,0.0
32,Emiliano,Martínez Romero,2,Gardien,5.0,2,90,0,0,0,1.7
33,Marco,Bizot,2,Gardien,4.5,7,180,0,0,1,0.8
34,Joe,Gauci,2,Gardien,4.0,0,0,0,0,0,0.2
35,Filip,Marschall,2,Gardien,4.0,0,0,0,0,0,0.0
36,Matty,Cash,2,Défenseur,4.5,10,253,0,0,1,5.0
37,Lucas,Digne,2,Défenseur,4.5,9,160,0,0,1,2.1
38,Ezri,Konsa Ngoyo,2,Défenseur,4.5,4,155,0,0,1,13.6
39,Ian,Maatsen,2,Défenseur,4.4,2,109,0,0,0,0.7
40,Tyrone,Mings,2,Défenseur,4.5,9,270,0,0,1,1.3
41,Pau,Torres,2,Défenseur,4.5,3,106,0,0,0,0.4
42,Andrés,García,2,Défenseur,4.0,0,0,0,0,0,0.2
43,Álex,Moreno Lopera,2,Défenseur,4.0,0,0,0,0,0,5.7
44,Lamare,Bogarde,2,Défenseur,4.0,1,22,0,0,0,0.3
45,Lino,da Cruz Sousa,2,Défenseur,4.0,0,0,0,0,0,0.3
46,Yasin,Özcan,2,Défenseur,4.0,0,0,0,0,0,0.2
47,Morgan,Rogers,2,Milieu,7.0,7,270,0,0,1,8.3
48,Youri,Tielemans,2,Milieu,5.9,7,270,0,0,1,1.8
49,Leon,Bailey,2,Milieu,5.5,0,0,0,0,0,0.2
50,Emiliano,Buendía Stati,2,Milieu,5.3,2,103,0,0,0,0.1
51,Samuel,Iling-Junior,2,Milieu,5.5,0,0,0,0,0,0.0
53,Donyell,Malen,2,Milieu,5.3,4,114,0,0,0,1.0
54,John,McGinn,2,Milieu,5.5,7,229,0,0,1,0.6
55,Ross,Barkley,2,Milieu,4.9,0,0,0,0,0,0.0
56,Enzo,Barrenechea,2,Milieu,5.0,0,0,0,0,0,0.0
57,Lewis,Dobbin,2,Milieu,5.0,0,0,0,0,0,0.0
58,Boubacar,Kamara,2,Milieu,4.9,3,105,0,0,1,0.1
59,Amadou,Onana,2,Milieu,5.0,6,153,0,0,1,1.3
60,Ben,Broggio,2,Milieu,4.5,0,0,0,0,0,0.3
61,Leander,Dendoncker,2,Milieu,4.5,0,0,0,0,0,0.2
62,Jamaldeen,Jimoh-Aloba,2,Milieu,4.5,0,0,0,0,0,0.1
63,Kadan,Young,2,Milieu,4.5,0,0,0,0,0,0.6
64,Ollie,Watkins,2,Attaquant,8.9,6,270,0,0,1,17.8
65,Zépiqueno,Redmond,2,Attaquant,4.5,0,0,0,0,0,0.7
389,Harvey,Elliott,2,Milieu,5.4,1,1,0,0,0,0.3
456,Jadon,Sancho,2,Milieu,5.9,0,0,0,0,0,0.2
677,Evann,Guessand,2,Milieu,6.4,2,60,0,0,0,0.0
688,James,Wright,2,Gardien,4.0,0,0,0,0,0,0.5
701,Triston,Rowe,2,Défenseur,4.0,0,0,0,0,0,0.1
702,Bradley,Burrowes,2,Milieu,4.5,1,16,0,0,0,0.1
703,Sam,Proctor,2,Gardien,4.0,0,0,0,0,0,0.3
710,Travis,Patterson,2,Défenseur,4.0,0,0,0,0,0,0.1
719,Victor,Lindelöf,2,Défenseur,4.5,0,0,0,0,0,0.0
183,Max,Weiß,3,Gardien,4.5,0,0,0,0,0,0.1
184,Etienne,Green,3,Gardien,4.0,0,0,0,0,0,0.4
185,Václav,Hladký,3,Gardien,4.0,0,0,0,0,0,0.2
186,Connor,Roberts,3,Défenseur,4.4,0,0,0,0,0,0.1
187,Kyle,Walker,3,Défenseur,4.5,7,270,0,0,1,1.8
188,Hannes,Delcroix,3,Défenseur,4.0,0,0,0,0,0,0.3
189,Owen,Dodgson,3,Défenseur,4.0,0,0,0,0,0,0.0
190,Hjalmar,Ekdal,3,Défenseur,4.0,13,262,0,0,1,1.1
191,Maxime,Estève,3,Défenseur,4.0,8,262,0,0,1,17.8
192,Quilindschy,Hartman,3,Défenseur,4.0,8,270,0,0,1,0.5
193,Bashir,Humphreys,3,Défenseur,4.0,0,0,0,0,0,0.1
194,Jordan,Beyer,3,Défenseur,4.0,0,0,0,0,0,0.1
195,Lucas,Pires Silva,3,Défenseur,4.0,0,0,0,0,0,0.1
196,Shurandy,Sambo,3,Défenseur,4.0,0,0,0,0,0,0.1
197,Oliver,Sonne,3,Défenseur,4.0,3,102,0,0,0,0.1
198,Axel,Tuanzebe,3,Défenseur,3.9,0,0,0,0,0,1.7
199,Joe,Worrall,3,Défenseur,4.0,2,14,0,0,0,0.1
200,Jaidon,Anthony,3,Milieu,5.5,21,264,2,1,1,0.8
201,Manuel,Benson Hedilazio,3,Milieu,5.4,0,0,0,0,0,0.0
202,Jacob,Bruun Larsen,3,Milieu,5.4,9,176,0,1,1,0.0
203,Enock,Agyei,3,Milieu,4.9,0,0,0,0,0,0.0
204,Darko,Churlinov,3,Milieu,4.9,0,0,0,0,0,0.0
205,Josh,Cullen,3,Milieu,5.0,20,270,1,1,1,1.8
206,Marcus,Edwards,3,Milieu,4.9,1,5,0,0,0,0.1
207,Hannibal,Mejbri,3,Milieu,5.0,9,208,0,0,1,0.2
208,Luca,Koleosho,3,Milieu,5.0,0,0,0,0,0,0.0
209,Josh,Laurent,3,Milieu,5.0,3,97,0,0,0,0.0
210,Loum,Tchaouna,3,Milieu,5.0,5,48,0,1,0,0.0
211,Aaron,Ramsey,3,Milieu,4.4,0,0,0,0,0,6.4
212,Oluwaseun,Adewumi,3,Milieu,4.5,0,0,0,0,0,0.0
213,Jaydon,Banel,3,Milieu,4.5,0,0,0,0,0,0.0
214,Mike,Trésor Ndayishimiye,3,Milieu,4.5,0,0,0,0,0,0.1
215,Zian,Flemming,3,Attaquant,5.4,2,20,0,0,0,0.1
216,Zeki,Amdouni,3,Attaquant,4.9,0,0,0,0,0,0.0
217,Lyle,Foster,3,Attaquant,5.0,10,248,1,0,1,0.8
218,Ashley,Barnes,3,Attaquant,4.4,0,0,0,0,0,1.7
219,Michael,Obafemi,3,Attaquant,4.4,0,0,0,0,0,0.3
470,Martin,Dúbravka,3,Gardien,4.0,10,270,0,0,1,33.9
676,Lesley,Ugochukwu,3,Milieu,5.0,6,170,0,0,1,0.0
680,Armando,Broja,3,Attaquant,5.4,0,0,0,0,0,0.2
722,Florentino Ibrain,Morris Luís,3,Milieu,5.0,0,0,0,0,0,0.0
66,Norberto,Murara Neto,4,Gardien,4.5,0,0,0,0,0,0.1
67,Đorđe,Petrović,4,Gardien,4.5,13,270,0,0,2,4.0
68,Will,Dennis,4,Gardien,4.0,0,0,0,0,0,1.1
69,Callan,McKenna,4,Gardien,4.0,0,0,0,0,0,0.2
70,Alex,Paulsen,4,Gardien,4.0,0,0,0,0,0,0.1
71,Illia,Zabarnyi,4,Défenseur,5.0,0,0,0,0,0,0.0
72,Marcos,Senesi Barón,4,Défenseur,4.6,25,270,0,1,2,5.2
73,Adam,Smith,4,Défenseur,4.5,8,204,0,0,1,0.3
74,Adrien,Truffert,4,Défenseur,4.5,13,270,0,0,2,1.1
75,Matai,Akinmboni,4,Défenseur,4.0,0,0,0,0,0,0.3
76,Owen,Bevan,4,Défenseur,4.0,0,0,0,0,0,0.2
77,James,Hill,4,Défenseur,4.0,7,67,0,0,1,0.8
78,Julián,Araujo Zúñiga,4,Défenseur,4.0,0,0,0,0,0,1.0
79,Chris,Mepham,4,Défenseur,4.0,0,0,0,0,0,0.2
80,Julio,Soler Barreto,4,Défenseur,4.0,0,0,0,0,0,0.3
81,Justin,Kluivert,4,Milieu,7.0,2,21,0,0,0,0.7
82,Antoine,Semenyo,4,Milieu,7.4,23,270,2,1,2,29.8
84,Marcus,Tavernier,4,Milieu,5.5,18,247,1,0,2,1.4
85,Tyler,Adams,4,Milieu,5.0,10,267,0,0,2,0.4
86,David,Brooks,4,Milieu,5.0,11,212,0,1,2,0.3
87,Ryan,Christie,4,Milieu,5.0,2,51,0,0,0,0.1
88,Lewis,Cook,4,Milieu,4.9,0,0,0,0,0,0.0
89,Philip,Billing,4,Milieu,4.9,0,0,0,0,0,0.0
90,Alex,Scott,4,Milieu,5.0,7,200,0,0,2,0.1
91,Luis,Sinisterra Lucumí,4,Milieu,5.0,0,0,0,0,0,0.0
92,Romain,Faivre,4,Milieu,4.5,0,0,0,0,0,0.2
93,Hamed,Traorè,4,Milieu,4.5,4,16,0,1,0,1.1
94,Dominic,Sadi,4,Milieu,4.5,0,0,0,0,0,0.1
95,Zain,Silcott-Duberry,4,Milieu,4.5,0,0,0,0,0,0.1
96,Ben,Winterburn,4,Milieu,4.5,1,6,0,0,0,0.1
97,Francisco Evanilson,de Lima Barbosa,4,Attaquant,7.0,11,257,1,0,2,2.2
98,Enes,Ünal,4,Attaquant,5.5,0,0,0,0,0,0.0
99,Daniel,Adu-Adjei,4,Attaquant,4.4,0,0,0,0,0,0.3
100,Eli Junior,Kroupi,4,Attaquant,4.5,3,12,0,0,0,1.2
391,Ben,Gannon-Doak,4,Milieu,5.0,0,0,0,0,0,0.1
685,Bafodé,Diakité,4,Défenseur,4.5,16,270,0,0,2,0.4
687,Remy,Rees-Dottin,4,Milieu,4.5,0,0,0,0,0,0.1
697,Amine,Adli,4,Milieu,5.5,2,50,0,0,0,0.0
713,Álex,Jiménez Sánchez,4,Défenseur,4.5,0,0,0,0,0,0.0
721,Veljko,Milosavljevic,4,Défenseur,4.5,0,0,0,0,0,0.0
27,Reiss,Nelson,5,Milieu,4.9,0,0,0,0,0,0.1
83,Dango,Ouattara,5,Milieu,6.0,15,173,1,0,1,1.0
101,Caoimhín,Kelleher,5,Gardien,4.5,7,270,0,0,1,9.7
102,Ellery,Balcombe,5,Gardien,4.0,0,0,0,0,0,0.3
103,Matthew,Cox,5,Gardien,4.0,0,0,0,0,0,0.1
104,Julian,Eyestone,5,Gardien,4.0,0,0,0,0,0,0.1
105,Hákon Rafn,Valdimarsson,5,Gardien,4.0,0,0,0,0,0,0.8
106,Nathan,Collins,5,Défenseur,5.0,12,270,0,0,1,1.6
107,Keane,Lewis-Potter,5,Défenseur,5.0,13,229,0,0,2,0.4
108,Kristoffer,Ajer,5,Défenseur,4.5,1,5,0,0,0,0.2
109,Rico,Henry,5,Défenseur,4.5,1,111,0,0,0,0.1
110,Michael,Kayode,5,Défenseur,4.5,12,264,0,0,1,0.4
111,Ethan,Pinnock,5,Défenseur,4.4,0,0,0,0,0,0.1
112,Mads,Roerslev Rasmussen,5,Défenseur,4.5,0,0,0,0,0,0.0
113,Sepp,van den Berg,5,Défenseur,4.5,14,270,0,0,1,0.7
114,Benjamin,Arthur,5,Défenseur,4.0,0,0,0,0,0,0.3
115,Benjamin,Fredrick,5,Défenseur,4.0,0,0,0,0,0,0.2
116,Aaron,Hickey,5,Défenseur,4.0,1,13,0,0,0,0.4
117,Kim,Ji-soo,5,Défenseur,4.0,0,0,0,0,0,0.1
118,Jayden,Meghoma,5,Défenseur,4.0,0,0,0,0,0,0.1
120,Kevin,Schade,5,Milieu,7.0,4,212,0,0,1,0.3
121,Mikkel,Damsgaard,5,Milieu,5.9,7,180,0,0,1,0.8
122,Antoni,Milambo,5,Milieu,5.4,1,45,0,0,0,0.1
123,Fábio,Freitas Gouveia Carvalho,5,Milieu,4.9,3,91,0,0,0,0.2
124,Jordan,Henderson,5,Milieu,5.0,7,159,0,0,2,0.3
125,Vitaly,Janelt,5,Milieu,4.9,0,0,0,0,0,0.0
126,Mathias,Jensen,5,Milieu,4.9,3,79,0,0,0,0.1
127,Gustavo,Nunes Fernandes Gomes,5,Milieu,4.9,0,0,0,0,0,0.0
128,Frank,Onyeka,5,Milieu,5.0,9,61,0,2,0,0.1
129,Yehor,Yarmoliuk,5,Milieu,5.0,9,258,0,0,1,0.1
130,Romelle,Donovan,5,Milieu,4.5,0,0,0,0,0,0.1
131,Yunus Emre,Konak,5,Milieu,4.4,0,0,0,0,0,0.2
132,Paris,Maghoma,5,Milieu,4.5,0,0,0,0,0,0.0
133,Myles,Peart-Harris,5,Milieu,4.5,0,0,0,0,0,0.0
134,Ryan,Trevitt,5,Milieu,4.5,0,0,0,0,0,0.0
136,Igor Thiago,Nascimento Rodrigues,5,Attaquant,6.0,14,270,2,0,1,1.5
137,Iwan,Morgan,5,Attaquant,4.4,0,0,0,0,0,0.4
138,Jason,Steele,6,Gardien,4.5,0,0,0,0,0,0.4
139,Bart,Verbruggen,6,Gardien,4.5,5,270,0,0,0,6.0
140,Tom,McGill,6,Gardien,4.0,0,0,0,0,0,0.4
141,Carl,Rushworth,6,Gardien,4.0,0,0,0,0,0,0.0
142,Kjell,Scherpen,6,Gardien,4.0,0,0,0,0,0,0.0
143,Olivier,Boscagli,6,Défenseur,4.4,0,0,0,0,0,0.1
144,Diego,Coppola,6,Défenseur,4.4,1,1,0,0,0,0.1
145,Maxim,De Cuyper,6,Défenseur,4.5,4,246,0,0,0,4.5
146,Lewis,Dunk,6,Défenseur,4.5,8,270,0,1,0,1.2
147,Pervis,Estupiñán Tenorio,6,Défenseur,4.5,0,0,0,0,0,0.0
148,Ferdi,Kadıoğlu,6,Défenseur,4.4,0,44,0,0,0,0.1
150,Tariq,Lamptey,6,Défenseur,4.4,0,0,0,0,0,0.3
151,Jan Paul,van Hecke,6,Défenseur,4.5,4,270,0,0,0,1.0
152,Joël,Veltman,6,Défenseur,4.4,1,90,0,0,0,0.2
153,Adam,Webster,6,Défenseur,4.4,0,0,0,0,0,0.0
154,Eiran,Cashin,6,Défenseur,4.0,0,0,0,0,0,0.0
155,Jacob,Slater,6,Défenseur,4.0,0,0,0,0,0,0.2
156,Charlie,Tasker,6,Défenseur,4.0,0,0,0,0,0,0.1
157,Mitoma,Kaoru,6,Milieu,6.4,9,262,0,1,1,4.9
158,Georginio,Rutter,6,Milieu,5.9,7,97,0,1,1,0.8
159,Solly,March,6,Milieu,5.9,0,0,0,0,0,0.0
160,Yankuba,Minteh,6,Milieu,5.9,9,248,0,0,1,0.8
161,Julio,Enciso Espínola,6,Milieu,5.4,0,0,0,0,0,0.0
162,Brajan,Gruda,6,Milieu,5.4,10,41,1,0,0,0.1
163,Jack,Hinshelwood,6,Milieu,5.3,3,105,0,0,0,0.1
164,Matt,O'Riley,6,Milieu,5.5,12,177,1,0,1,1.2
165,Abdallah,Sima,6,Milieu,5.4,0,0,0,0,0,0.0
166,Yasin,Ayari,6,Milieu,5.0,6,185,0,0,0,0.2
167,Carlos,Baleba,6,Milieu,4.9,5,172,0,0,1,3.5
169,Diego,Gómez Amarilla,6,Milieu,5.0,3,104,0,0,0,0.1
170,James,Milner,6,Milieu,5.0,7,32,1,0,0,0.1
171,Jeremy,Sarmiento Morante,6,Milieu,4.9,0,0,0,0,0,0.0
172,Tom,Watson,6,Milieu,5.0,0,0,0,0,0,0.0
173,Mats,Wieffer,6,Milieu,5.0,7,174,0,0,0,0.1
174,Malick,Yalcouyé,6,Milieu,5.0,0,0,0,0,0,0.0
175,Joe,Knight,6,Milieu,4.5,0,0,0,0,0,0.1
176,Adrian,Mazilu,6,Milieu,4.5,0,0,0,0,0,0.0
177,Andrew,Moran,6,Milieu,4.5,0,0,0,0,0,0.0
178,Danny,Welbeck,6,Attaquant,6.4,3,171,0,0,0,2.3
179,Evan,Ferguson,6,Attaquant,5.5,0,0,0,0,0,0.0
180,Stefanos,Tzimas,6,Attaquant,5.4,0,0,0,0,0,0.1
181,Charalampos,Kostoulas,6,Attaquant,4.9,0,0,0,0,0,0.3
168,Facundo,Buonanotte,7,Milieu,4.9,0,0,0,0,0,0.1
220,Robert,Lynch Sánchez,7,Gardien,5.0,17,270,0,0,2,24.4
221,Filip,Jörgensen,7,Gardien,4.4,0,0,0,0,0,0.2
222,Mike,Penders,7,Gardien,4.0,0,0,0,0,0,0.0
223,Gabriel,Słonina,7,Gardien,4.0,0,0,0,0,0,0.1
224,Marc,Cucurella Saseta,7,Défenseur,6.1,19,248,0,1,2,28.2
225,Reece,James,7,Défenseur,5.5,7,108,0,0,1,5.1
226,Trevoh,Chalobah,7,Défenseur,5.1,27,248,1,1,2,6.6
227,Levi,Samuels Colwill,7,Défenseur,4.9,0,0,0,0,0,0.2
228,Malo,Gusto,7,Défenseur,5.0,9,169,0,0,1,1.5
229,Benoît,Badiashile Mukinayi,7,Défenseur,4.4,0,0,0,0,0,0.0
230,Wesley,Fofana,7,Défenseur,4.4,1,21,0,0,0,0.2
231,Mamadou,Sarr,7,Défenseur,4.5,0,0,0,0,0,0.0
232,Tosin,Adarabioyo,7,Défenseur,4.5,10,180,0,0,1,1.1
233,Josh,Acheampong,7,Défenseur,4.0,9,90,0,0,1,2.0
234,Aarón,Anselmino,7,Défenseur,4.0,0,0,0,0,0,0.1
235,Cole,Palmer,7,Milieu,10.4,3,90,0,0,1,22.8
236,Pedro,Lomba Neto,7,Milieu,7.0,13,260,1,0,2,5.6
237,Enzo,Fernández,7,Milieu,6.6,25,258,2,2,2,9.9
238,Estêvão,Almeida de Oliveira Gonçalves,7,Milieu,6.5,8,179,0,1,1,2.5
239,Jamie,Bynoe-Gittens,7,Milieu,6.3,3,88,0,0,0,0.2
240,Christopher,Nkunku,7,Milieu,5.9,0,0,0,0,0,0.1
241,Moisés,Caicedo Corozo,7,Milieu,5.5,17,270,1,0,2,6.8
243,Tyrique,George,7,Milieu,4.9,3,66,0,0,1,0.1
244,Roméo,Lavia,7,Milieu,4.9,0,0,0,0,0,0.0
245,Mykhailo,Mudryk,7,Milieu,5.0,0,0,0,0,0,0.0
246,Andrey,Nascimento dos Santos,7,Milieu,4.5,2,48,0,0,0,0.3
247,Dário,Luís Essugo,7,Milieu,4.4,0,0,0,0,0,0.1
248,Kendry,Páez Andrade,7,Milieu,4.5,0,0,0,0,0,0.0
249,João Pedro,Junqueira de Jesus,7,Attaquant,7.7,26,252,2,2,2,63.9
250,Liam,Delap,7,Attaquant,6.3,4,91,0,0,0,2.1
251,Nicolas,Jackson,7,Attaquant,6.5,0,0,0,0,0,0.1
252,Marc,Guiu Paz,7,Attaquant,4.4,2,13,0,0,0,13.2
453,Alejandro,Garnacho Ferreyra,7,Milieu,6.4,0,0,0,0,0,0.3
672,Jorrel,Hato,7,Défenseur,4.9,0,21,0,0,0,0.2
253,Dean,Henderson,8,Gardien,5.0,15,270,0,0,2,7.6
254,Walter,Benítez,8,Gardien,4.0,0,0,0,0,0,0.4
255,Remi,Matthews,8,Gardien,4.0,0,0,0,0,0,0.1
256,Daniel,Muñoz Mejía,8,Défenseur,5.5,19,270,0,1,2,11.1
257,Maxence,Lacroix,8,Défenseur,5.0,22,270,0,1,2,2.3
258,Tyrick,Mitchell,8,Défenseur,5.0,16,270,0,0,2,1.8
259,Borna,Sosa,8,Défenseur,5.0,0,0,0,0,0,0.1
260,Marc,Guéhi,8,Défenseur,4.6,23,270,1,0,2,16.2
261,Chris,Richards,8,Défenseur,4.5,16,270,0,0,2,1.7
262,Chadi,Riad Dnanou,8,Défenseur,4.0,0,0,0,0,0,0.0
263,Nathaniel,Clyne,8,Défenseur,4.0,1,4,0,0,0,0.6
264,Rob,Holding,8,Défenseur,4.0,0,0,0,0,0,0.0
265,Caleb,Kporha,8,Défenseur,4.0,0,0,0,0,0,0.0
267,Ismaïla,Sarr,8,Milieu,6.5,18,270,2,0,2,6.7
268,Cheick,Doucouré,8,Milieu,5.0,0,0,0,0,0,0.0
269,Romain,Esse,8,Milieu,4.9,1,24,0,0,0,0.2
270,Will,Hughes,8,Milieu,4.9,5,229,0,0,2,0.1
271,Daichi,Kamada,8,Milieu,5.0,6,85,0,1,1,0.1
272,Jefferson,Lerma Solís,8,Milieu,5.0,3,62,0,0,0,0.1
273,Adam,Wharton,8,Milieu,5.0,6,226,0,0,1,0.5
274,Asher,Agbinone,8,Milieu,4.5,0,0,0,0,0,0.1
275,Naouirou,Ahamada,8,Milieu,4.5,0,0,0,0,0,0.0
276,Justin,Devenny,8,Milieu,4.5,4,76,0,0,0,1.5
277,Malcolm,Ebiowei,8,Milieu,4.5,0,0,0,0,0,0.0
278,Jesurun,Rak-Sakyi,8,Milieu,4.5,0,0,0,0,0,0.1
279,Matheus,França de Oliveira,8,Milieu,4.5,0,0,0,0,0,0.0
280,David,Ozoh,8,Milieu,4.5,0,0,0,0,0,0.0
281,Kaden,Rodney,8,Milieu,4.5,0,0,0,0,0,0.0
282,Franco,Umeh-Chibueze,8,Milieu,4.5,0,0,0,0,0,0.0
283,Jean-Philippe,Mateta,8,Attaquant,7.5,8,261,1,0,2,9.3
284,Eddie,Nketiah,8,Attaquant,5.4,0,0,0,0,0,0.2
285,Odsonne,Édouard,8,Attaquant,5.0,1,2,0,0,0,0.5
286,Zach,Marsh,8,Attaquant,4.5,0,0,0,0,0,0.2
690,Rio,Cardines,8,Milieu,4.5,0,0,0,0,0,0.2
712,Yéremy,Pino Santos,8,Milieu,6.0,1,19,0,0,0,0.0
723,Jaydee,Canvot,8,Défenseur,4.5,0,0,0,0,0,0.0
732,Christantus,Uche,8,Attaquant,5.5,0,0,0,0,0,0.0
242,Kiernan,Dewsbury-Hall,9,Milieu,5.0,16,270,1,1,1,4.3
287,Jordan,Pickford,9,Gardien,5.5,18,270,0,0,1,12.0
288,Mark,Travers,9,Gardien,4.5,0,0,0,0,0,0.1
289,Harry,Tyrer,9,Gardien,4.0,0,0,0,0,0,0.1
290,Jarrad,Branthwaite,9,Défenseur,5.3,0,0,0,0,0,0.3
291,James,Tarkowski,9,Défenseur,5.5,15,270,0,0,1,7.2
292,Vitalii,Mykolenko,9,Défenseur,4.9,1,90,0,0,0,0.5
293,Jake,O'Brien,9,Défenseur,5.0,9,270,0,0,1,0.5
294,Séamus,Coleman,9,Défenseur,4.5,1,1,0,0,0,0.1
295,Michael,Keane,9,Défenseur,4.5,13,270,0,0,1,0.6
296,Nathan,Patterson,9,Défenseur,4.4,0,0,0,0,0,0.0
297,Roman,Dixon,9,Défenseur,4.0,0,0,0,0,0,0.2
298,Reece,Welch,9,Défenseur,4.0,0,0,0,0,0,0.1
299,Iliman,Ndiaye,9,Milieu,6.5,17,243,2,0,1,9.5
300,Dwight,McNeil,9,Milieu,5.8,1,19,0,0,0,0.2
301,Carlos,Alcaraz Durán,9,Milieu,5.4,3,113,0,0,0,0.1
302,Idrissa Gana,Gueye,9,Milieu,5.4,7,255,0,0,1,0.1
303,James,Garner,9,Milieu,5.0,16,270,1,0,1,0.3
304,Tim,Iroegbunam,9,Milieu,5.0,5,154,0,0,2,0.0
305,Harrison,Armstrong,9,Milieu,4.5,1,1,0,0,0,0.1
306,Callum,Bates,9,Milieu,4.5,0,0,0,0,0,0.1
307,Coby,Ebere,9,Milieu,4.5,0,0,0,0,0,0.0
308,Isaac,Heath,9,Milieu,4.5,0,0,0,0,0,0.0
309,Jenson,Metcalfe,9,Milieu,4.5,0,0,0,0,0,0.0
310,Thierno,Barry,9,Attaquant,5.9,4,81,0,0,1,0.5
311,Norberto Bercique,Gomes Betuncal,9,Attaquant,5.4,9,191,1,0,0,5.5
312,Youssef,Ramalho Chermiti,9,Attaquant,4.9,0,0,0,0,0,0.1
313,Martin,Sherif,9,Attaquant,4.4,0,0,0,0,0,0.2
419,Jack,Grealish,9,Milieu,6.7,22,196,0,4,1,15.4
630,Tom,King,9,Gardien,4.0,0,0,0,0,0,1.4
667,Adam,Aznou,9,Défenseur,4.4,0,0,0,0,0,0.1
704,Tyler,Onyango,9,Milieu,4.5,0,0,0,0,0,0.1
705,Elijah,Campbell,9,Défenseur,4.0,0,0,0,0,0,0.2
707,Tyler,Dibling,9,Milieu,5.5,0,0,0,0,0,0.0
728,Merlin,Röhl,9,Milieu,5.0,0,0,0,0,0,0.0
314,Bernd,Leno,10,Gardien,5.0,8,270,0,0,0,1.6
315,Steven,Benda,10,Gardien,4.0,0,0,0,0,0,0.0
316,Antonee,Robinson,10,Défenseur,5.0,2,51,0,0,0,0.8
317,Joachim,Andersen,10,Défenseur,4.5,9,270,0,0,0,2.7
318,Calvin,Bassey,10,Défenseur,4.5,4,270,0,0,0,0.5
319,Timothy,Castagne,10,Défenseur,4.5,3,126,0,0,0,0.1
320,Issa,Diop,10,Défenseur,4.4,0,0,0,0,0,0.1
321,Jorge,Cuenca Barreno,10,Défenseur,4.5,2,83,0,0,0,0.0
322,Kenny,Tete,10,Défenseur,4.5,7,270,0,0,0,0.2
323,Samuel,Amissah,10,Défenseur,4.0,0,0,0,0,0,0.2
324,Alex,Iwobi,10,Milieu,6.5,10,238,0,1,0,1.4
325,Emile,Smith Rowe,10,Milieu,5.9,8,55,1,0,0,0.8
326,Adama,Traoré Diarra,10,Milieu,5.4,2,30,0,0,0,0.2
327,Andreas,Hoelgebaum Pereira,10,Milieu,5.3,0,0,0,0,0,0.2
328,Ryan,Sessegnon,10,Milieu,5.4,4,127,0,0,0,0.0
329,Harry,Wilson,10,Milieu,5.4,7,148,0,1,0,0.6
330,Sander,Berge,10,Milieu,5.0,6,245,0,0,0,0.1
331,Tom,Cairney,10,Milieu,4.9,0,24,0,0,0,0.0
332,Saša,Lukić,10,Milieu,5.0,6,270,0,0,0,0.1
